Acquisitions ID,Acquired Company,Acquiring Company,Year of acquisition announcement,Deal announced on,Price,Status,Terms,Acquisition Profile,News,News Link
EMC acquired Data Domain in 2009,Data Domain,EMC,2009,8/07/2009,"$2,100,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/5dc676a13d41c2ee87169ce59476ec2d,EMC acquired Data Domain,http://www.businesswire.com/news/home/20090708006032/en/Data-Domain-Agrees-Acquired-EMC-33.50-share#.U08F1uZdXZQ
AOL acquired Quigo in 2007,Quigo,AOL,2007,7/11/2007,"$363,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/ad686848af5fcca55969144dbb6a9135,,
Cisco acquired PostPath in 2008,PostPath,Cisco Systems,2008,27/08/2008,"$215,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/6a18cc70c525ec1f81c4e045444b834f,Cisco Announces Definitive Agreement to Acquire PostPath - The Network: Cisco's Technology News Site,http://newsroom.cisco.com/dlls/2008/corp_082708.html
Oracle acquired BigMachines in 2013,BigMachines,Oracle,2013,24/10/2013,"$400,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/e856d7c127cd5f00eca5d2e69a00a20f,Oracle Corporation acquired BigMachines,http://www.businessinsider.in/Source-Oracle-Paid-Over-400-Million-For-BigMachines-To-Grab-More-Salesforce-Customers/articleshow/24619613.cms
Yahoo! acquired Snip.it in 2013,Snip.it,Yahoo,2013,22/01/2013,"$10,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/e2dcb91d59318e8afa0aa83f0e792f37,Yahoo Buys Snip.it The Pinterest-Meets-News Startup For $10 Million Plus Earnouts | TechCrunch,http://techcrunch.com/2013/01/22/yahoo-buys-snip-it-10-million/
Sony acquired Gaikai in 2012,Gaikai,Sony,2012,2/07/2012,"$380,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/907965ae9ad5bbc0ec8de45af41eb7e1,Sony Acquires Cloud-Gaming Company Gaikai for $380 Million,http://allthingsd.com/20120702/sony-acquires-cloud-gaming-company-gaikai-for-380-million/
Facebook acquired Snaptu in 2011,Snaptu,Facebook,2011,17/09/2011,"$70,000,000",Complete,Cash,http://www.crunchbase.com/acquisition/04c03f5b26f0eef4d71a3378a7305793,Confirmed: Facebook Acquires Snaptu (For An Estimated $60 – $70 Million) | TechCrunch,http://techcrunch.com/2011/03/20/facebook-reportedly-acquires-snaptu-for-an-estimated-60-70-million/
Juniper Networks acquired Kagoor Networks in 2005,Kagoor Networks,Juniper Networks,2005,29/03/2005,"$67,500,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/3502a3ddb75ac98fd1fed75f89b1d728,Juniper Networks - Juniper Networks Inc. to Acquire Kagoor Networks,http://juniper.mwnewsroom.com/manual-releases/2005/Juniper-Networks-Inc--to-Acquire-Kagoor-Networks
HP acquired 3PAR in 2010,3PAR,HP,2010,2/09/2010,"$2,400,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/da22e6bdd40f66fb9e7675effb4a2075,Done Deal: HP Gets 3PAR For $2.35 Billion In Cash | TechCrunch,http://techcrunch.com/2010/09/02/done-deal-hp-gets-3par-for-2-35-billion-in-cash/
HP acquired Melodeo in 2010,Melodeo,HP,2010,23/06/2010,"$30,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/29b5b73449937aee487147cc575d91bc,HP Goes NuTsie For Melodeo Pays $30 Million For Music Streaming Service | TechCrunch,http://techcrunch.com/2010/06/23/hp-goes-nutsie-for-melodeo-pays-30-million-for-music-streaming-service/
Adobe Systems acquired Omniture in 2009,Omniture,Adobe,2009,23/10/2009,"$1,800,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/d4718f673f1fea5d41e746fa6e132e70,Adobe Systems acquired Omniture,http://www.cnet.com/news/adobe-to-buy-omniture-for-1-8-billion/
Apple acquired Intrinsity in 2010,Intrinsity,Apple,2010,27/04/2010,"$121,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/72f10792613d5a0e25c43d988fb49ef6,Apple acquired Intrinsity,http://www.nytimes.com/2010/04/28/technology/28apple.html
Nokia acquired Navteq in 2008,Navteq,Nokia,2008,10/07/2008,"$8,100,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/ce2f7f9f8dc2f019fcc2aa30c78292cb,Nokia to Pay $8.1 Billion for Navteq,http://www.businessweek.com/stories/2007-10-01/nokia-to-pay-8-dot-1-billion-for-navteqbusinessweek-business-news-stock-market-and-financial-advice
Yahoo! acquired Overture Services in 2003,Overture Services,Yahoo,2003,14/07/2003,"$1,600,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/0e0487ce6ca447a740610abd4af032be,Yahoo! acquired Overture Services,http://news.cnet.com/2100-1030_3-1025394.html
Twitter acquired Summize in 2008,Summize,Twitter,2008,15/07/2008,"$15,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/a3faf570ad94c5721e6613406d4d7342,Twitter Buys Summize For About $15M: Gets Search - And Maybe A Business Model,http://www.businessinsider.com/2008/7/twitter-buys-summize-for-about-15m-stock-and-cash
