Company,CrunchBase Profile,Image,Tagline,Year Founded,Market Categories,Address (HQ),City (HQ),State / Region (HQ),Country (HQ),Description,Homepage,Twitter,Acquired by,Acquisitions ID,API
Day Software,http://www.crunchbase.com/organization/day-software,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187256/0ef62e4243274cafe1a563dda2bca363.png","Day Software develops web applications that allow customers to deploy global, multi-lingual internet initiatives.",,Software,"Barfüsserplatz 6, Basel, Basel-Stadt, Switzerland",Basel,Basel-Stadt,Switzerland,"Day was founded in Basel, Switzerland, in 1993 to design web applications and manage content for global companies. Day Software allows customers to deploy global, multi-lingual internet initiatives.Day markets and delivers its software through partnerships with system integrators and consultants, as well as its own direct sales team.",http://www.day.com,,Adobe,Adobe Systems acquired Day Software in 2010,http://api.crunchbase.com/v/2/organization/day-software?user_key=0ebdc8274e821149894a240090945265
Efficient Frontier,http://www.crunchbase.com/organization/efficient-frontier,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187163/94951d79513e1cc31346d97fbcf48b36.jpg","Efficient Frontier, an online performance and social media marketing platform, manages social media campaigns for advertisers and agencies.",2002.0,Advertising,"809 Eleventh Avenue, Sunnyvale, California, United States",Sunnyvale,California,United States,"Efficient Frontier is a leader in online performance and social media marketing, managing search marketing, display and social media campaigns for advertisers and agencies around the world. Efficient Frontier currently manages more than $1 billion in annual marketing spend on behalf of their clients globally. In 2011, Efficient Frontier acquired Context Optional, a leader in enterprise social marketing solutions. The acquisition significantly expanded Efficient Frontier's social media offering, marking the first unified solution for managing and optimizing Facebook fan acquisition through to fan retention and engagement.  Founded in 2002, Efficient Frontier pioneered the application of modern portfolio theory for search engine marketing and today combines its core predictive modeling algorithms and bidding technology with comprehensive strategic and tactical value-added services. The largest and most sophisticated advertisers and agencies partner with Efficient Frontier to achieve and sustain optimal campaign performance and growth in highly complex and competitive marketplaces.  The company is headquartered in Sunnyvale, California, with offices in New York, San Francisco, the United Kingdom, France, Germany, and India, and technology licensing partnerships in Japan, Hong Kong and Australia.  Efficient Frontier is a privately held company with funding from Redpoint Ventures and Cambrian Ventures.",http://www.efrontier.com,,Adobe,Adobe Systems acquired Efficient Frontier in 2011,http://api.crunchbase.com/v/2/organization/efficient-frontier?user_key=0ebdc8274e821149894a240090945265
Macromedia,http://www.crunchbase.com/organization/macromedia,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185516/a52417a692ecf76761ccdbba50e86a81.png",Macromedia is a graphics and web development software company producing tools such as Macromedia Flash and Dreamweaver.,1992.0,Software,"601 Townsend St, San Francisco, California, United States",San Francisco,California,United States,"Macromedia was a North American graphics and Web development software house headquartered in San Francisco, California producing such products as Macromedia Flash.The line of Macromedia products is now controlled by its former rival, Adobe Systems, which acquired Macromedia on December 3, 2005.",http://www.adobe.com,http://twitter.com/Adobe,Adobe,Adobe Systems acquired Macromedia in 2005,http://api.crunchbase.com/v/2/organization/macromedia?user_key=0ebdc8274e821149894a240090945265
Neolane,http://www.crunchbase.com/organization/neolane,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185938/0f73f10909c6dd46019d0acf4f81ac89.jpg",Neolane is a marketing technology provider developing automation and cross-channel campaign management software for B2B and B2C marketers.,2001.0,Software,"18 rue Roger-Simon Barboux, Arcueil, Ile-de-France, France",Arcueil,Ile-de-France,France,"Neolane, Inc. is a conversational marketing technology provider, which develops marketing automation and cross-channel campaign management software and services for business-to-business and business-to-consumer marketers. In 2012, Neolane recorded $58 million in revenue representing 40% year-over-year growth. In 2013, Neolane was named #64 on the Forbes list of America's Most Promising companies.Neolane provides the only conversational marketing technology that empowers organizations to build and sustain one-to-one lifetime dialogues, dramatically increasing revenue and marketing efficiency. Neolane has a track record of enabling its customers to adapt to new customer engagement challenges and exploit opportunities more quickly than their competition. Neolane is used by more than 400 of the world's leading companies including Alcatel Lucent, barnesandnoble.com, Orange, Sears Canada, Sephora Europe, and Sony Music.",http://www.neolane.com,http://twitter.com/neolane,Adobe,Adobe Systems acquired Neolane in 2013,http://api.crunchbase.com/v/2/organization/neolane?user_key=0ebdc8274e821149894a240090945265
Omniture,http://www.crunchbase.com/organization/omniture,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182349/1da531948acac7cacf8f58070795dc76.png",Omniture is an online marketing and web analytics business unit enabling clients to manage and enhance business initiatives.,1996.0,"Software, Advertising","550 East Timpanogos Circle, Orem, Utah, United States",Orem,Utah,United States,"The Omniture product suite provides an integrated set of services: advanced web analytics and segmentation SiteCatalyst, Discover and Data Warehouse, search marketing SearchCenter, optimization Advanced Testing and Targeting -- Offermatica and TouchClarity, and the marketing integration platform Genesis. They also have an iPhone application that allows customers to sign into their Omniture account and view statistics from anywhere.",http://www.omniture.com,,Adobe,Adobe Systems acquired Omniture in 2009,http://api.crunchbase.com/v/2/organization/omniture?user_key=0ebdc8274e821149894a240090945265
Alexa,http://www.crunchbase.com/organization/alexa,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183177/fa515300ce15643be3d0579f53d7b9e9.png","Alexa, a subsidiary of Amazon, is a web information company that offers website information and analytics.",1996.0,Curated Web,"Presidio of San Francisco, PO Box 29141, San Francisco, California, United States",San Francisco,California,United States,"""Founded in April 1996, Alexa Internet grew out of a vision of Web navigation that is intelligent and constantly improving with the participation of its users. Along the way Alexa has developed an installed base of millions of toolbars, one of the largest Web crawls and an infrastructure to process and serve massive amounts of data. For users of Alexa's Toolbar and web site this has resulted in products that have revolutionized Web navigation and intelligence. For developers this has resulted in a set of tools unprecedented in scope allowing whole new services to be created on the Alexa data and platform."" Source: Alexa",http://www.alexa.com,http://twitter.com/AlexaInternet,Amazon,Amazon acquired Alexa in 1999,http://api.crunchbase.com/v/2/organization/alexa?user_key=0ebdc8274e821149894a240090945265
Audible,http://www.crunchbase.com/organization/audible,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1406195598/trnfcycjw6cnt8zm3gw6.png","Audible is an internet provider of spoken audio entertainment, information and educational programming.",1999.0,E-Commerce,"One Washington Park, 16th Floor, Newark, New Jersey, United States",Newark,New Jersey,United States,"Audible is a provider of spoken audio information and entertainment , on the Internet. They provide premium spoken audio content, such as audio versions of books and newspapers and radio programs, that is delivered over the Internet and played back on personal computers and hand-held electronic devices. The Audible service allows consumers to purchase and download their content from their Website, store it in digital files and play it back on personal computers and electronic devices. More than 15,000 hours of audio content are available on their Web site, including audio versions of books, periodicals and radio programs. Several manufacturers have agreed to support and promote the playback of their content on their hand-held audio-enabled electronic devices.",http://www.audible.com,http://twitter.com/audible_com,Amazon,Amazon acquired Audible in 2008,http://api.crunchbase.com/v/2/organization/audible?user_key=0ebdc8274e821149894a240090945265
Evi,http://www.crunchbase.com/organization/evi,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182242/fb15ac2686b8c5c3e03f89bb047ac81a.png",Evi is a technology company focused on knowledge base and semantic search engine software.,2005.0,"Search, Mobile","Poseidon House, Castle Park, Cambridge, United Kingdom, Great Britain",Cambridge,United Kingdom,Great Britain,"TrueKnowledge.com is now Evi.com. True Knowledge are the creators of Evi, the digital personal assistant currently available for both iOS and Android. Evi is the successor to the True Knowledge Answer Engine and utilises natural conversational input to allow a user to ask for information or perform tasks by speaking in a totally natural manner without pre-programmed voice commands. Evi utilises a variety of information sources including her own database of nearly a billion facts as well as numerous external resources. True Knowledge's technology is non statistical, meaning that it knows when it cannot understand the user's question or provide an answer. This it allows it to complement existing search technologies producing its direct answers when it can and other results such as standard internet search results when it cannot.",http://www.evi.com,http://twitter.com/EviKnows,Amazon,Amazon acquired Evi in 2013,http://api.crunchbase.com/v/2/organization/movirtu?user_key=0ebdc8274e821149894a240090945265
Kiva Systems,http://www.crunchbase.com/organization/kiva-systems,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397194196/f7b6249af219732df1853cad3ba806a6.gif",Kiva Systems offers a mobile-robotic fulfillment system for inventory distribution centers that help companies optimize their operations.,2003.0,"Shipping, Software, Robotics, Hardware + Software, Hardware","300 Riverpark Drive, North Reading, Massachusetts, United States",North Reading,Massachusetts,United States,"Kiva Systems nee Distrobot Systems makes an order fulfillment system based around short, orange robots.  Inventory is kept on racks which are picked up and moved by the robots.",http://www.kivasystems.com,http://twitter.com/KivaSystems,Amazon,Amazon acquired Kiva Systems in 2012,http://api.crunchbase.com/v/2/organization/kiva-systems?user_key=0ebdc8274e821149894a240090945265
LOVEFiLM,http://www.crunchbase.com/organization/lovefilm,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186170/5ae05a11b6ff5b5882a3a8a8a2acbf8e.jpg","LOVEFiLM is a movie subscription service of Amazon, delivering DVDs to members and providing access to an online database of movies.",2003.0,Games,"No. 9, 6 Portal Way, London, United Kingdom, Great Britain",London,United Kingdom,Great Britain,"LOVEFiLM is an Amazon company and is the leading European film subscription service with over 2 million members in the UK, Germany, Sweden, Denmark, and NorwayIn February 2011 LOVEFiLM was acquired by Amazon EU SARLLOVEFiLM members can enjoy the benefits of DVDs delivered straight to their door with LOVEFiLM By Post and streaming films online via LOVEFiLM InstantLOVEFiLM Instant is available on over 200 Internet-enabled devices including PCs, PlayStation®3, iPad®, Xbox 360, plus a growing number of Blu-Ray players and Internet-connected TVs including LG, Sony, Samsung and CelloLOVEFiLM is available for one low monthly price – with no late fees Titles are also available to everyone on a pay-per-view basis via LOVEFiLM Box OfficeMembers can choose from a selection of over 70,000 titles available across Blu-ray, DVDs, video games and instant streamingLOVEFiLM offers a range of video games rental options in the UK market to support gaming across Xbox 360, Xbox, PlayStation®3, PlayStation®2, Wii and DSLOVEFiLM members have generated over 80 million film ratings and written more than 843,000 reviewsFor additional information including a breakdown of packages visit www.lovefilm.com",http://www.lovefilm.com,http://twitter.com/LOVEFiLM,Amazon,Amazon acquired LOVEFiLM in 2012,http://api.crunchbase.com/v/2/organization/lovefilm?user_key=0ebdc8274e821149894a240090945265
